row_id,type,title,date,text,text_type
0,Fake,TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate,"Aug 4, 2015", You don t know what s gonna come at you all of this has nothing to do with being a great President.  ,short_text
1,Fake,BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like,"Mar 19, 2016",text: text: text:,generated_text
2,Fake,BREAKING: “The Real Donald Trump Story”,"Jan 8, 2016","AMATEUR INTEL TREATMENT — If the Trump campaign was trying to use the “real Donald Trump story” line on the Hill and both the campaign and the President ad aren’t lucky enough to have caught a whole lot of screen time, and that lack of coverage-worthy events, it would behoove them",generated_text
3,Fake,AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD,"Jun 9, 2015",Amen! This judge brings it to this man and it s amazing!,short_text
4,Fake,‘Bernie Sanders is on a Mission’,"May 26, 2016","21st Century Wire says But he can he accomplish his objective?In the following episode of CrossTalk, a panel gets into a very heated discussion on that very question. Sanders is the only candidate who has a chance of beating Trump, as Hillary is now consistently losing to him in head-to-head polls.",short_text
5,Fake,ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN,"Apr 9, 2015",You won t want to miss this,short_text
6,Fake,"Shaquille O’Neal: “The Earth is flat. Yes, it is.”","March 21, 2017","“Shaq O’Neal thinks the world is flat. Shaq WHO? Shaq, one of the highest paid athletes in NBA, is not an educated person. He thinks the earth is flat and might have even said so. I think reality shows like Dancing with the Stars and Breakout Kings are in way over his head, and he",generated_text
7,Fake,HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home,"May 5, 2017","Watch this hilarious video from our British conservative friend Paul Joseph Watson (Twitter name:@PrisonPlanet) who does a brilliant job exposing the hypocrisy of the left: Pro-migrant French welcome more refugees! But when asked to house one, their enthusiasm suddenly disappears.",short_text
8,Fake,BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”,"Jan 11, 2017","1,rev:2 I’m not going to get into what I think of Buzzfeed’s editor-in-chief, but I’m going to say that announcing a piece of fake news that he didn’t like as if it were a totally serious, investigative piece is just as bad as Buzzfeed trying to explain its fake",generated_text
9,Fake,"BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered","Oct 31, 2016", A source close to Anthony Weiner s legal team says it seems the laptop containing the emails was used to backup his estranged wife s Smartphone contacts in the process. The computer apparently backed up all of the emails as well.,short_text
10,Fake,SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation,"Apr 17, 2016","The bill only “strengthens gun laws.” Share this: Related 16 Responses to “IGNORANT PEDAL” And what exactly is ignorance of legislation? It could be ignorance of its details, but not of its overall intent. You don’t think people, especially politicians,",generated_text
11,Fake,WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!,"Aug 12, 2016","“IF IT TAKES PEOPLE VS ZOMBIES” For some reason I can’t stop watching this video! It’s hard not to find in her veins, like a virus. A horrible virus! A sinister, satanic, cunning and evil virus. A virus that is both contagious and grows at an exponentially rapid",generated_text
12,Fake,BRAVO! WATCH TED CRUZ SLAM The Lies Of Leftists Attacking Senator Jeff Sessions,"Jan 10, 2017","Watch Ted Cruz completely annihilate the Leftist false attacks on Jeff Sessions  character! # confirmationhearing pic.twitter.com/tBaz5rdRoI  John Binder   (@JxhnBinder) January 10, 2017",short_text
13,Fake,WHY IS LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement?,"Aug 4, 2016",Loretta Lynch is head of the DOJ and is opening for Deray McKesson of Black Lives Matter tomorrow in Detroit. Is this an endorsement of the radical domestic terrorist organization that calls for looting and violence in the name of social justice?,short_text
14,Fake,SHOUT! POLL: Should Protesters Be Allowed to Shut Down Political Rallies?,"March 12, 2016","Shouting is not a crime A group of protestors have recently been banned from disrupting rallies being held by Ukip leader Nigel Farage; they claim that the actions of these political campaigners is just an example of how the law being used to undermine free speech. Title text: The Liberal Democrats could not take the seat of Peterborough, in spite of the fact that on",generated_text
15,True,Palestinian negotiator says 'no talking' with U.S. until Trump reverses Jerusalem decision: Al Jazeera,"December 8, 2017 ","Palestinian chief negotiator Saeb Erekat told Al Jazeera TV on Friday that the Palestinians will not talk to the United States until President Donald Trump has reversed his decision to recognize Jerusalem as Israel s capital, the channel reported. Erekat also said the Palestinian leadership was considering all options in response to Trump s announcement, the channel reported in a newsflash, without giving further details.",short_text
16,True,UK defense minister: PM May decides on cabinet hiring and firing,"November 8, 2017 ","British defense minister Gavin Williamson said on Wednesday it was up to Prime Minister Theresa May to decide who serves in her top team, responding to a question about the political future of aid minister Priti Patel.  The prime minister makes her own decision on actually who is serving in her cabinet, and they re only the prime minister s decisions,  he told reporters in Brussels.",short_text
17,True,NSA director Rogers is top candidate for DNI under Trump: WSJ,"November 18, 2016 ","Rogers has interviewed for the job, sources say; he was recently seen at Trump Tower in... OK - so some of the information in this link is not present in the Government Accountability Office report - but that was my personal view - since the Goverment Accountability Office report authorizes the GAO to do what it did! Now - if you look at the",generated_text
18,True,"Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide","November 21, 2017 ","At a news conference in Seoul, Foreign Minister Ri Su-han and U.S. Secretary of State Rex Tillerson underscored the difficult issues they face in the upcoming meeting between their two countries’ leaders on Tuesday on the Korean Peninsula. Erdogan: Turkish leadership is cool to any dealings with the U.S. and Russian leaders, citing traits in both Putin and Trump.",generated_text
19,True,Russian and Chinese heads of state to meet in first half of November,"October 26, 2017 ","""President Vladimir Putin visited China last week, during which the Russian and Chinese presidents held informal talks as well as discussed the situation in Syria. In the wake of the meeting, the Putin-Xi talks are being called a ""game changer"" that may help ""restore confidence."" However, the West thinks that Russia's declaration that it may use military action in Syria",generated_text
20,True,Florida lieutenant governor ends bid for Senate seat,"June 22, 2016 ","Florida’s Republican lieutenant governor, Carlos Lopez-Cantera, on Wednesday dropped his bid for a U.S. Senate seat shortly after Senator Marco Rubio said he would be entering the race. “ I want to congratulate and thank Marco for his decision to pursue re-election to the U.S. Senate,” Lopez-Cantera, a friend of Rubio’s, said in a statement.",short_text
21,True,Cruz campaign vetting Fiorina as a possible VP pick: ABC News,"April 25, 2016 ","The Texas senator unveiled a new series this week of interviews and fact-checks on national security, the economy, education and other major issues. One of the candidates on the hit list: Businesswoman Carly Fiorina... Politico Obama calls for new gun controls to prevent more Sandy's headline: Obama calls for new gun controls to prevent more Sandy's",generated_text
22,True,Trump to announce transportation secretary pick: spokesman,"November 29, 2016 ",White House statement late Friday said Trump intends to preview his nominee in public while speaking to the assembled media on Saturday. reuters.com White House statement late Friday said Trump intends to preview his nominee in public while speaking to the assembled media on Saturday. fax phone Homepage or Web site of:,generated_text
23,True,U.S. says it will take steps after Cambodia's dissolves opposition party,"November 17, 2017 ","The United States expressed  grave concern  on Thursday about the Cambodian government s decision to dissolve the main opposition party and said Washington will take  concrete steps  in response, according to a White House statement. As a first step, the White House said, the United States will end its support for the Cambodian National Election Committee and its administration of the 2018 national election.",short_text
24,True,Senate Republican leader says on path toward deal on government funding,"October 31, 2017 ","'Senate GOP leader: on path to deal' (Lousiana Times-Picayune) ""Senate Republicans on Sunday they are on the path to a deal to fund the federal government and avoid a looming default and raise the recession-era debt ceiling. ""The House",generated_text
25,True,Trump to study tougher Russia sanctions bill: White House,"July 24, 2017 ","President Donald Trump will examine whether a bill toughening sanctions on Russia is offering the “best deal” for the American people, White House spokeswoman Sarah Sanders said on Monday. “ He’s going to study that legislation and see what the final product looks like,” Sanders told reporters during a briefing on Air Force One, when asked whether Trump would support the legislation.",short_text
26,True,U.S. 'very concerned' by violence around Iraq's Kirkuk: State Department,"October 16, 2017 ","Foreign... intervention could help prevent ethnic cleansing and genocide by Kurdish... No Eleven Questions, Just Two Big Ones. Two Questions on Syria that Really Matter. Think... 8/11/2013 01:23' Idiot: I'm on a lot of European Airlines, and I've never been asked to show... 9/25/2012 10:",generated_text
27,True,Trump discusses safe zones in Syria with Jordan's king: White House,"February 2, 2017 ",Trump addresses Europeans at UN General Assembly Before U.N. summit with China . Trump said the U.S. and Jordan are “working on very preliminary plans” for what he called safe zones in Syria. Fox's Jones led into a segment by The Daily Caller's Wilchins (April 24,generated_text
28,True,Trump says 'not distracted' by NFL protests,"September 26, 2017 ","U.S. President Donald Trump’s criticisms of National Football League players kneeling in protest during the national anthem have not distracted him from other concerns, he told journalists on Tuesday. “ I wasn’t preoccupied with the NFL.",short_text
29,True,Tillerson says Saudi Arabia not ready for talks with Qatar on Gulf crisis,"October 22, 2017 ","Saudi Arabia is not yet ready to begin direct talks with Doha to resolve the nearly five-month diplomatic and trade cutoff affecting Qatar, U.S. Secretary of State Rex Tillerson said on Sunday.  There is not a strong indication that the parties are ready to talk yet,  Tillerson said of discussions he had earlier in the day in Riyadh with Saudi Crown Prince Mohammed bin Salman aimed at overcoming the row.",short_text
