name,betweenness_centrality,degree_centrality,eigenvector_centrality
Clarence,0.015409798534798555,0.07692307692307693,0.06721205034472183
Richard,0.5298028013653017,0.5076923076923077,0.42508509380201226
Brakenbury,0.03926053113553113,0.12307692307692308,0.133008479819273
Hastings,0.09463120213120214,0.26153846153846155,0.29802655841290454
Anne,0.03020604395604395,0.1076923076923077,0.1577255220613516
1Gentleman,0.0,0.015384615384615385,0.042630273235291595
2Gentleman,0.0,0.015384615384615385,0.015817724158540394
Grey,0.016235119047619047,0.07692307692307693,0.13330215174318963
Rivers,0.0026957417582417586,0.13846153846153847,0.2277284617447929
QueenElizabeth,0.09208988927738929,0.27692307692307694,0.331023924411313
Buckingham,0.10444617882117885,0.2923076923076923,0.3207100746034498
Stanley,0.12658508158508155,0.18461538461538463,0.23313667970415577
QueenMargaret,0.0008238636363636362,0.1076923076923077,0.2043072618388005
Dorset,0.003748543123543123,0.13846153846153847,0.2376345825493781
Catesby,0.0008653846153846153,0.07692307692307693,0.1491883333516818
1Murderer,0.006227106227106222,0.06153846153846154,0.0653817366903586
Keeper,0.0,0.03076923076923077,0.020079902343433056
2Murderer,0.0,0.046153846153846156,0.026637034094099756
KingEdward,0.0004945054945054946,0.1076923076923077,0.20792620097354703
Boy,0.0,0.046153846153846156,0.05886112255800946
Duchess,0.039220467032967034,0.16923076923076924,0.19705119828606127
Daughter,0.0,0.046153846153846156,0.05886112255800946
1Citizen,0.0,0.03076923076923077,2.4484629103079295e-09
2Citizen,0.0,0.03076923076923077,2.4484629103079295e-09
3Citizen,0.0,0.03076923076923077,2.4484629103079295e-09
Archbishop,0.0,0.046153846153846156,0.05886112255800946
York,0.0013293997668997672,0.07692307692307693,0.1405430537701087
1Messenger,0.0,0.046153846153846156,0.05886112255800946
PrinceEdward,0.0009375,0.07692307692307693,0.12755805920993296
Mayor,0.0,0.046153846153846156,0.08758482023179354
Cardinal,0.0,0.03076923076923077,0.062049904804473546
2Messenger,0.0,0.015384615384615385,0.02988752733460973
Pursuivant,0.0,0.03076923076923077,0.036476936434994195
Priest,0.0011939102564102564,0.046153846153846156,0.06570792211604665
Vaughan,0.00016025641025641026,0.03076923076923077,0.024679518269528227
Ratcliffe,0.012707188644688646,0.07692307692307693,0.1127917982588087
Ely,0.0,0.06153846153846154,0.12806051551074465
Lovell,0.0,0.03076923076923077,0.07251780056990081
Citizens,0.0,0.015384615384615385,0.03216237746986433
Page,0.0,0.015384615384615385,0.042630273235291595
Tyrrel,0.0,0.03076923076923077,0.07479265070515541
3Messenger,0.008453525641025642,0.03076923076923077,0.02410674614545697
4Messenger,0.0007211538461538462,0.03076923076923077,0.007243018305312829
5Messenger,0.02063301282051282,0.046153846153846156,0.0481158880248601
6Messenger,0.0,0.03076923076923077,0.04745569383858906
Christopher,0.0,0.015384615384615385,0.023380337470980547
Sheriff,0.0,0.015384615384615385,0.03216237746986433
Oxford,0.014423076923076924,0.03076923076923077,0.00804648145887432
Richmond,0.25472756410256414,0.1076923076923077,0.07861889457404662
Herbert,0.0002403846153846154,0.03076923076923077,0.0016140432962313362
Blunt,0.014423076923076924,0.03076923076923077,0.00804648145887432
Surrey,0.0,0.015384615384615385,0.042630273235291595
Norfolk,0.0,0.015384615384615385,0.042630273235291595
GhostEdward,0.16482371794871795,0.06153846153846154,0.008595728661709894
GhostHenryVI,0.026923076923076925,0.03076923076923077,0.0008723468436689819
GhostClarence,0.0009615384615384616,0.03076923076923077,0.00010087646356796325
GhostRivers,0.002403846153846154,0.06153846153846154,0.00013170157141888426
GhostGrey,0.0,0.046153846153846156,0.0001224699201820567
GhostVaughan,0.0,0.046153846153846156,0.0001224699201820567
GhostHastings,0.08541666666666667,0.07692307692307693,0.000962923681483862
GhostsYork,0.0019230769230769232,0.03076923076923077,0.0006236107053716748
GhostAnne,0.028044871794871796,0.046153846153846156,0.005252902797856634
GhostBuckingham,0.04431089743589744,0.03076923076923077,0.04315715163281369
1Lord,0.0,0.03076923076923077,0.05051485227218203
2Lord,0.0,0.03076923076923077,0.05051485227218203
7Messenger,0.0,0.015384615384615385,0.042630273235291595
