name,degree_centrality,betweenness_centrality,eigenvector_centrality
Talbot,0.375,0.4468995778372914,0.25167418226948407
Gloucester,0.3214285714285714,0.2236808610808953,0.31638454904896285
Plantagenet,0.30357142857142855,0.16660334695493614,0.3335628939239623
Pucelle,0.26785714285714285,0.16405616133316062,0.2315076119292242
Bedford,0.17857142857142855,0.07853489033940167,0.17103092196526165
Salisbury,0.05357142857142857,0.07012987012987013,0.031529205710754606
King,0.21428571428571427,0.06563296822225394,0.282673610028375
Winchester,0.19642857142857142,0.06089811309864283,0.23032786396506194
Warwick,0.21428571428571427,0.04691955752533332,0.2771105139978925
Charles,0.19642857142857142,0.0449003171773165,0.21445380799855504
1Servingman,0.10714285714285714,0.03747399786360825,0.0854434513323163
Exeter,0.17857142857142855,0.0365510679796394,0.21376235213666905
Alencon,0.14285714285714285,0.036044929571074476,0.16540495573852304
Reignier,0.14285714285714285,0.03578251194578945,0.1700535175558938
Boy,0.03571428571428571,0.03571428571428571,0.003476322696212134
Sentinel,0.05357142857142857,0.03571428571428571,0.04598545155319207
Countess,0.05357142857142857,0.03571428571428571,0.03248203725804575
Mortimer,0.03571428571428571,0.03571428571428571,0.036776609386147484
Vernon,0.125,0.026286440831895377,0.1685851964837269
Somerset,0.19642857142857142,0.02527653623432844,0.25304991004561034
Suffolk,0.1607142857142857,0.021132678316974282,0.22422410452677274
Burgundy,0.10714285714285714,0.009015050843058358,0.10989570741487123
Captain,0.07142857142857142,0.004012237762237762,0.08132861317270661
3Servingman,0.07142857142857142,0.003559161702958695,0.07968187415400167
Lucy,0.07142857142857142,0.0015284715284715283,0.11249489928909219
Falstaff,0.05357142857142857,0.0012788600288600289,0.07074809778100478
Gargrave,0.05357142857142857,0.000974025974025974,0.03424803599201073
5Messenger,0.05357142857142857,0.0008658008658008658,0.042931031776371954
Bastard,0.08928571428571427,0.0006368631368631368,0.09710658866939324
Basset,0.07142857142857142,0.0005331609227713123,0.11997087097849159
3Messenger,0.05357142857142857,0.0005328005328005328,0.0670145345861463
Watch,0.03571428571428571,0.0,0.02830607814527802
Margaret,0.03571428571428571,0.0,0.04295490606377834
FrenchSoldier,0.03571428571428571,0.0,0.02830607814527802
General,0.017857142857142856,0.0,0.027419187363573915
6Messenger,0.017857142857142856,0.0,0.0363401083516568
John,0.017857142857142856,0.0,0.027419187363573915
Servant,0.017857142857142856,0.0,0.027419187363573915
Legate,0.017857142857142856,0.0,0.025093004876448964
Scout,0.03571428571428571,0.0,0.048586348475630196
2Servingman,0.05357142857142857,0.0,0.05245788900873124
EnglishSoldier,0.017857142857142856,0.0,0.02522216484720073
Keeper,0.017857142857142856,0.0,0.0040066299237424335
Lawyer,0.05357142857142857,0.0,0.08227506143936822
Porter,0.017857142857142856,0.0,0.0035388714463796362
Sergeant,0.017857142857142856,0.0,0.005010033600338808
4Messenger,0.017857142857142856,0.0,0.027419187363573915
Glansdale,0.03571428571428571,0.0,0.0311504595032766
Gunner,0.017857142857142856,0.0,0.0003787462074780092
Mayor,0.07142857142857142,0.0,0.12054716517230075
Servingmen,0.03571428571428571,0.0,0.05956145537940776
Woodville,0.017857142857142856,0.0,0.03446845050295879
2Warder,0.017857142857142856,0.0,0.009308547667043154
1Warder,0.03571428571428571,0.0,0.04377699817000195
2Messenger,0.03571428571428571,0.0,0.041921529709697335
1Messenger,0.03571428571428571,0.0,0.041921529709697335
Shepherd,0.05357142857142857,0.0,0.09175218149378074
